ARTUKLU: Kurşunsuz Benzin 95 Oktan: 55.36, Motorin: 56.06, HighDizel: 56.06, Kalorifer Yakıtı: 30.90, Fuel Oil: 26.53, Yüksek Kükürtlü: 22.60
DARGEÇİT: Kurşunsuz Benzin 95 Oktan: 55.36, Motorin: 56.06, HighDizel: 56.06, Kalorifer Yakıtı: 30.90, Fuel Oil: 26.53, Yüksek Kükürtlü: 22.60
DERİK: Kurşunsuz Benzin 95 Oktan: 55.36, Motorin: 56.06, HighDizel: 56.06, Kalorifer Yakıtı: 30.90, Fuel Oil: 26.53, Yüksek Kükürtlü: 22.60
KIZILTEPE: Kurşunsuz Benzin 95 Oktan: 55.36, Motorin: 56.06, HighDizel: 56.06, Kalorifer Yakıtı: 30.90, Fuel Oil: 26.53, Yüksek Kükürtlü: 22.60
MAZIDAĞI: Kurşunsuz Benzin 95 Oktan: 55.36, Motorin: 56.06, HighDizel: 56.06, Kalorifer Yakıtı: 30.90, Fuel Oil: 26.53, Yüksek Kükürtlü: 22.60
MİDYAT: Kurşunsuz Benzin 95 Oktan: 55.36, Motorin: 56.06, HighDizel: 56.06, Kalorifer Yakıtı: 30.90, Fuel Oil: 26.53, Yüksek Kükürtlü: 22.60
NUSAYBİN: Kurşunsuz Benzin 95 Oktan: 55.36, Motorin: 56.06, HighDizel: 56.06, Kalorifer Yakıtı: 30.90, Fuel Oil: 26.53, Yüksek Kükürtlü: 22.60
ÖMERLİ: Kurşunsuz Benzin 95 Oktan: 55.36, Motorin: 56.06, HighDizel: 56.06, Kalorifer Yakıtı: 30.90, Fuel Oil: 26.53, Yüksek Kükürtlü: 22.60
SAVUR: Kurşunsuz Benzin 95 Oktan: 55.36, Motorin: 56.06, HighDizel: 56.06, Kalorifer Yakıtı: 30.90, Fuel Oil: 26.53, Yüksek Kükürtlü: 22.60
YEŞİLLİ: Kurşunsuz Benzin 95 Oktan: 55.36, Motorin: 56.06, HighDizel: 56.06, Kalorifer Yakıtı: 30.90, Fuel Oil: 26.53, Yüksek Kükürtlü: 22.60
