Aksaray
Aksaray | Benzin: 55.06 | Motorin: 56.55
Merkez | Benzin: 55.06 | Motorin: 56.55
Ortaköy | Benzin: 55.06 | Motorin: 56.55
Ağaçören | Benzin: 55.06 | Motorin: 56.55
Eskil | Benzin: 55.06 | Motorin: 56.55
Gülağaç | Benzin: 55.06 | Motorin: 56.55
Güzelyurt | Benzin: 55.06 | Motorin: 56.55
Sarıyahşi | Benzin: 55.06 | Motorin: 56.55
Sultanhanı | Benzin: 55.06 | Motorin: 56.55
