Artuklu: K. Benzin (95 Oktan): 55.51, Motorin: 56.14, Motorin XTR: 56.14, Gazyağı: 47.18, Fuel Oil3: 30.40, Kalorifer Yakıtı: 36.24, LPG: 30.55
Dargeçit: K. Benzin (95 Oktan): 55.52, Motorin: 56.15, Motorin XTR: 56.15, Gazyağı: 47.19, Fuel Oil3: 30.41, Kalorifer Yakıtı: 36.25, LPG: 30.55
Derik: K. Benzin (95 Oktan): 55.51, Motorin: 56.14, Motorin XTR: 56.14, Gazyağı: 47.18, Fuel Oil3: 30.40, Kalorifer Yakıtı: 36.24, LPG: 30.55
Kızıltepe: K. Benzin (95 Oktan): 55.51, Motorin: 56.14, Motorin XTR: 56.14, Gazyağı: 47.18, Fuel Oil3: 30.40, Kalorifer Yakıtı: 36.24, LPG: 30.55
Mazıdağı: K. Benzin (95 Oktan): 55.49, Motorin: 56.12, Motorin XTR: 56.12, Gazyağı: 47.16, Fuel Oil3: 30.38, Kalorifer Yakıtı: 36.22, LPG: 30.55
Midyat: K. Benzin (95 Oktan): 55.51, Motorin: 56.14, Motorin XTR: 56.14, Gazyağı: 47.18, Fuel Oil3: 30.40, Kalorifer Yakıtı: 36.24, LPG: 30.55
Nusaybin: K. Benzin (95 Oktan): 55.51, Motorin: 56.14, Motorin XTR: 56.14, Gazyağı: 47.18, Fuel Oil3: 30.40, Kalorifer Yakıtı: 36.24, LPG: 30.55
Ömerli: K. Benzin (95 Oktan): 55.51, Motorin: 56.14, Motorin XTR: 56.14, Gazyağı: 47.18, Fuel Oil3: 30.40, Kalorifer Yakıtı: 36.24, LPG: 30.55
Savur: K. Benzin (95 Oktan): 55.51, Motorin: 56.14, Motorin XTR: 56.14, Gazyağı: 47.18, Fuel Oil3: 30.40, Kalorifer Yakıtı: 36.24, LPG: 30.55
Yeşilli: K. Benzin (95 Oktan): 55.51, Motorin: 56.14, Motorin XTR: 56.14, Gazyağı: 47.18, Fuel Oil3: 30.40, Kalorifer Yakıtı: 36.24, LPG: 30.55
