MARDIN | K.Benzin 95: 53,08 | Gaz Yağı: 41,06 | Motorin: 54,99 | Motorin 2: 54,99 | Kalorifer Yakıtı: 31,70 | Fuel Oil: 26,67 | Y.K. Fuel Oil: 22,96 | Gaz: 28,93
DARGECIT | K.Benzin 95: 53,10 | Gaz Yağı: 41,08 | Motorin: 55,01 | Motorin 2: 55,01 | Kalorifer Yakıtı: 31,72 | Fuel Oil: 26,69 | Y.K. Fuel Oil: 22,98 | Gaz: 28,93
DERIK | K.Benzin 95: 53,10 | Gaz Yağı: 41,08 | Motorin: 55,01 | Motorin 2: 55,01 | Kalorifer Yakıtı: 31,72 | Fuel Oil: 26,69 | Y.K. Fuel Oil: 22,98 | Gaz: 28,93
KIZILTEPE | K.Benzin 95: 53,09 | Gaz Yağı: 41,07 | Motorin: 55,00 | Motorin 2: 55,00 | Kalorifer Yakıtı: 31,71 | Fuel Oil: 26,68 | Y.K. Fuel Oil: 22,97 | Gaz: 28,93
MAZIDAGI | K.Benzin 95: 53,10 | Gaz Yağı: 41,08 | Motorin: 55,01 | Motorin 2: 55,01 | Kalorifer Yakıtı: 31,72 | Fuel Oil: 26,69 | Y.K. Fuel Oil: 22,98 | Gaz: 28,93
MIDYAT | K.Benzin 95: 53,09 | Gaz Yağı: 41,07 | Motorin: 55,00 | Motorin 2: 55,00 | Kalorifer Yakıtı: 31,71 | Fuel Oil: 26,68 | Y.K. Fuel Oil: 22,97 | Gaz: 28,93
NUSAYBIN | K.Benzin 95: 53,08 | Gaz Yağı: 41,06 | Motorin: 54,99 | Motorin 2: 54,99 | Kalorifer Yakıtı: 31,70 | Fuel Oil: 26,67 | Y.K. Fuel Oil: 22,96 | Gaz: 28,93
OMERLI | K.Benzin 95: 53,08 | Gaz Yağı: 41,06 | Motorin: 54,99 | Motorin 2: 54,99 | Kalorifer Yakıtı: 31,70 | Fuel Oil: 26,67 | Y.K. Fuel Oil: 22,96 | Gaz: 28,93
SAVUR | K.Benzin 95: 53,09 | Gaz Yağı: 41,07 | Motorin: 55,00 | Motorin 2: 55,00 | Kalorifer Yakıtı: 31,71 | Fuel Oil: 26,68 | Y.K. Fuel Oil: 22,97 | Gaz: 28,93
YESILLI | K.Benzin 95: 53,08 | Gaz Yağı: 41,06 | Motorin: 54,99 | Motorin 2: 54,99 | Kalorifer Yakıtı: 31,70 | Fuel Oil: 26,67 | Y.K. Fuel Oil: 22,96 | Gaz: 28,93
